ISSCAP CODE,Species,Category,Source,Family,SpcID,StudyLocality,Region,StartYear,EndYear,Gear,GScore,GRank,Sex,K,KRank,M,F,Z,Tzero,ExpRate,ERRank,LenYear1,LenYear2,LenYear3,LenYear4,Yield,FecundityMin,FecundityMax,Fecundity,FcRank,MeanSizeMin,MeanSizeMax,MeanSize,LengthRangeMin,LengthRangeMax,Lr,Linf,LinfRank,MeanSizeByLinf,MeanSizeByLm,LrByLinf,LrRank,LmMin,LmMax,Lm,LmBL,LmRank,SpawningSeason,NumSpawningMonths,NSMRank,Dist,DistRank,MTL,MTLRank,BLD,BLDRank,CPI,CPIRank,PriceRank,RankTotal
38.0,Scoliodon laticaudus,SD,JMBAI 1991 33: 213-228 Kasim,CARCHARHINIDAE,106.0,Veraval,NW,1981.0,1984.0,Trawlnet,11.0,4,F,0.88,3,1.53,2.5,4.03,0.0,0.6203474,4.0,439.0,622.0,696.0,0.0,0.0,3.0,8.0,8,1.0,0.0,0.0,0.0,0.0,0.0,262.0,749.0,3,0.0,0.0,0.349799732977303,4,0.0,0.0,375,0.500667556742323,6,,0,0.0,88.82,6,4.45,2,5.85,3,298.6,4,4,44.0
38.0,Scoliodon laticaudus,SD,IJF 1997 44(1) Joseph and Devaraj,CARCHARHINIDAE,106.0,Mumbai,NW,1986.0,1988.0,trawler,11.0,4,C,0.6812,3,0.969,3.18,4.15,0.0,0.766265,5.0,369.0,552.0,645.0,0.0,0.0,0.0,0.0,11,1.0,0.0,0.0,0.0,0.0,0.0,262.0,740.0,3,0.0,0.0,0.354054054054054,4,0.0,0.0,375,0.506756756756757,6,,0,0.0,88.82,6,4.45,2,5.85,3,298.6,4,4,45.0
38.0,Scoliodon laticaudus,SD,"IJMS, 1997,26 Chakraborty et al",CARCHARHINIDAE,106.0,Maharashtra,NW,1987.0,1990.0,TRAWL,11.0,4,M,0.63,3,0.9,2.1,3.0,0.0,0.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1.0,0.0,0.0,0.0,0.0,0.0,262.0,740.0,3,0.0,0.0,0.354054054054054,4,0.0,0.0,375,0.506756756756757,6,,0,0.0,88.82,6,4.45,2,5.85,3,298.6,4,4,45.0
38.0,Scoliodon laticaudus,SD,"IJMS, 1997,26 Chakraborty et al",CARCHARHINIDAE,106.0,Maharashtra,NW,1987.0,1990.0,TRAWL,11.0,4,F,0.48,2,0.9,2.1,3.0,0.0,0.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1.0,0.0,0.0,0.0,0.0,0.0,262.0,726.0,3,0.0,0.0,0.360881542699725,4,0.0,0.0,375,0.516528925619835,6,,0,0.0,88.82,6,4.45,2,5.85,3,298.6,4,4,44.0
38.0,Sphyrna lewini,LD,Trophic  Modelling of Arabian Sea of Karnataka,SPHYRNIDAE,121.0,Manglore Malpe,SW,1999.0,2000.0,Gillnet,10.1,4,C,0.51,2,0.74,2.89,3.63,0.0,0.7961432,5.0,,,,,292.0,3.0,10.0,10,1.0,,,730.0,,,435.0,1560.0,1,0.468,0.938,0.278846153846154,5,,,778,0.498717948717949,6,,0,0.0,89.03,6,4.45,2,4.57,2,662.8,6,6,46.0
38.0,Rhinobatos granulatus,LD,Trophic  Modelling of Arabian Sea of Karnataka,RHINOBATIDAE,146.0,Mangalore,SW,2000.0,2001.0,Trawlnet,11.3,4,C,0.28,1,0.3,0.45,0.75,0.0,0.6,4.0,,,,,55.0,,,1,1.0,,,0.0,,,234.0,978.0,2,0.224948875255624,1.46666666666667,0.239263803680982,5,,,151,0.15439672801636,1,,0,0.0,61.72,4,3.59,3,5.14,3,662.8,6,4,38.0
35.0,Dussumieria acuta,SP,Trophic  Modelling of Arabian Sea of Karnataka,CLUPEIDAE ,291.0,Mangalore,SW,2000.0,2001.0,"Trawlnet,Purseseine",11.3,4,C,0.98,4,1.94,0.32,2.26,0.0,0.1415929,1.0,,,,,168.0,,,0,0.0,,,165.0,,,110.0,234.0,5,0.683760683760684,1.14285714285714,0.47008547008547,3,,,142,0.606837606837607,4,,0,0.0,35.48,3,2.95,5,3.6,2,662.8,6,3,40.0
35.0,Escualosa thoracata,SP,Trophic  Modelling of Arabian Sea of Karnataka,CLUPEIDAE ,301.0,Mangalore,SW,2000.0,2001.0,"Trawlnet,Purseseine, Artisanal",12.9,5,C,1.6,6,3.08,14.33,17.41,0.0,0.8230902,6.0,,,,,776.0,,,0,0.0,,,110.0,,,75.0,139.0,6,0.79136690647482,1.22222222222222,0.539568345323741,2,,,90,0.647482014388489,4,,0,0.0,70.54,5,2.95,5,3.0,2,662.8,6,4,51.0
35.0,Tenualosa ilisha,SP,"IJF1992,39(3,4)",CLUPEIDAE,316.0,Northeast coast,NE,1984.0,1988.0,"Driftnet,Gillnet",12.1,4,C,0.4813,2,0.69,0.944,0.71,0.0,1.329578,6.0,238.0,372.0,456.0,508.0,0.0,457100.0,1369500.0,1369500,6.0,0.0,0.0,0.0,0.0,0.0,250.0,595.0,4,0.0,,0.420168067226891,3,0.0,0.0,0,0.0,0,"Sep,Oct",2,6.0,63.01,4,2.0,6,2.7,1,16.1,1,6,49.0
35.0,Tenualosa ilisha,SP,"IJF 1992,39 (3&4)  Reuben et al",CLUPEIDAE,316.0,north east,NE,1984.0,1988.0,Gillnet,12.0,4,C,0.4813,2,0.678,1.006,1.71,0.0,0.5883041,3.0,238.0,372.0,456.0,508.0,0.0,467100.0,1369500.0,1369500,6.0,0.0,0.0,0.0,150.0,480.0,150.0,595.0,4,0.0,0.0,0.252100840336134,5,0.0,0.0,360,0.605042016806723,4,"Sep,Oct,Feb,Mar",4,5.0,63.01,4,2.0,6,2.66,1,16.1,1,6,51.0
35.0,Ilisha megaloptera,SP,CMFRI annual report 2008-2009,Clupeidae,327.0,Veravel,NW,2007.0,2008.0,Dolnet,8.6,3,C,0.42,2,0.9,1.01,1.91,0.0,0.5287958,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467100,6.0,0.0,0.0,313.0,,,250.0,430.5,4,0.0,0.0,0.580720092915215,2,0.0,0.0,0,0.0,0,"Feb-August,unimodal",7,3.0,83.7,6,2.0,6,3.125,2,298.6,4,3,44.0
35.0,Sardinella albella,SP,"IJF 2010,57(4) Abdusamad et al",CLUPEIDAE,356.0,tuticorin,SE,2000.0,2008.0,"Trawl,Gillnet",10.9,4,C,1.1,4,2.19,3.06,5.25,0.0,0.5828571,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12329,2.0,0.0,0.0,0.0,60.0,180.0,65.0,208.0,5,0.0,0.0,0.3125,4,0.0,0.0,105,0.504807692307692,6,"Dec-Mar,Aug",5,4.0,91.2,6,3.15,4,3.03030303030303,2,81.5,1,3,48.0
35.0,Sardinella dayi,SP,"JMBA, 1985 27(1&2) Annigeri",CLUPEIDAE,359.0,Karwar,SW,1979.0,1983.0,Purse seine,10.9,4,C,0.3,1,0.7961,0.935,1.731,0.0,0.5401502,3.0,0.0,0.0,0.0,0.0,0.0,14000.0,66280.0,66280,4.0,0.0,0.0,0.0,0.0,0.0,115.0,150.39,6,0.0,0.0,0.764678502560011,1,135.0,150.0,140,0.930912959638274,1,"Oct,Nov,Dec, Jan,feb,mar,apr,may",8,3.0,91.2,6,3.15,4,3.1,2,662.8,6,3,44.0
35.0,Sardinella fimbriata,SP,Trophic  Modelling of Arabian Sea of Karnataka,CLUPEIDAE,360.0,Mangalore,SW,1999.0,2001.0,"Trawlnet,Purseseine",14.3,5,C,1.3,5,2.38,3.73,6.11,0.0,0.6104746,4.0,,,,,155.0,5500.0,132900.0,132900,5.0,,,161.0,,,108.0,217.0,5,0.742,1.211,0.497695852534562,3,,,133,0.612903225806452,4,,0,0.0,34.84,2,2.95,5,3.1,2,662.8,6,3,49.0
35.0,Sardinella gibbosa,SP,"IJF1989,36(3)",CLUPEIDAE,361.0,Karwar,SW,1979.0,1983.0,PS,15.2,6,C,0.75,3,0.8218,1.0,1.8218,0.0,0.5489077,3.0,,,,,,12780.0,41326.0,41326,3.0,,,,125.0,125.0,85.0,144.26,6,,,0.589213919312353,2,,,129,0.894218771662276,1,"MAY,JUN,OCT,NOV",4,5.0,24.3,2,2.95,5,3.3,2,662.8,6,3,47.0
35.0,Sardinella gibbosa,SP,Trophic  Modelling of Arabian Sea of Karnataka,CLUPEIDAE,361.0,Mangalore,SW,1999.0,2001.0,"Trawlnet,Purseseine, Artisanal",15.2,6,C,1.4,5,2.52,4.36,6.88,0.0,0.6337209,4.0,,,,,2003.0,12780.0,41326.0,41326,3.0,,,166.0,,,108.0,211.0,5,0.787,1.287,0.511848341232227,2,,,129,0.611374407582938,4,"Oct, Nov, Dec, Jan, Feb, Mar",6,4.0,24.3,2,2.95,5,3.3,2,662.8,6,3,51.0
35.0,Sardinella gibbosa,SP,"JMBA, 1985 27(1&2) Annigeri",CLUPEIDAE,361.0,Karwar,SW,1979.0,1983.0,Purse Seine,15.2,6,C,0.75,3,0.8218,0.12,0.933,0.0,0.1286174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73000,4.0,0.0,0.0,0.0,0.0,0.0,85.0,144.26,6,0.0,0.0,0.589213919312353,2,0.0,0.0,129,0.894218771662276,1,"MAY,JUN,OCT,NOV",4,5.0,24.3,2,2.95,5,3.3,2,662.8,6,3,46.0
35.0,Sardinella gibbosa,SP,"JMBA, 1985 27(1&2) Annigeri",CLUPEIDAE,361.0,Karwar,SW,1983.0,1983.0,Purse Seine,15.2,6,C,0.63,3,0.8218,0.12,0.933,0.0,0.1286174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73000,4.0,0.0,0.0,0.0,0.0,0.0,85.0,144.93,6,0.0,0.0,0.586490029669496,2,0.0,0.0,129,0.890084868557234,1,"MAY,JUN,OCT,NOV",4,5.0,24.3,2,2.95,5,3.3,2,662.8,6,3,46.0
35.0,Sardinella gibbosa,SP,CMFRI annual report 2008-2009,CLUPEIDAE,361.0,Andhra Pradesh,SE,2007.0,2008.0,"Trawl,seines,Gillnet",15.2,6,C,1.8,6,2.9,6.97,9.87,0.0,0.7061803,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8535,2.0,0.0,0.0,0.0,0.0,0.0,95.0,191.3,6,0.0,0.0,0.496602195504443,3,0.0,0.0,136,0.710925248301098,2,,4,5.0,24.3,2,2.95,5,3.3,2,81.5,1,3,48.0
35.0,Sardinella gibbosa,SP,"IJF 39 (3,4)Bennet et al,136-15 1",CLUPEIDAE,361.0,"Andhra, Orissa","SE,NE",1984.0,1988.0,PS.NM,15.2,6,C,1.5,5,2.1,4.18,6.28,0.0,0.6656051,4.0,148.0,182.0,186.0,0.0,0.0,26000.0,73000.0,73000,4.0,0.0,0.0,0.0,0.0,0.0,95.0,191.0,6,0.0,0.0,0.49738219895288,3,0.0,0.0,136,0.712041884816754,2,"JAN,FEB,MAR,APR",4,5.0,24.3,2,2.95,5,3.3,2,48.8,1,3,48.0
35.0,Sardinella gibbosa,SP,"IJF 39 (3,4)Bennet et al,136-15 1",CLUPEIDAE,361.0,"Tamil Nadu, PON",SE,1984.0,1988.0,PS.NM,15.2,6,C,1.5,5,2.14,4.687,6.827,0.0,0.6865387,4.0,148.0,182.0,186.0,0.0,0.0,26000.0,73000.0,73000,4.0,0.0,0.0,0.0,0.0,0.0,85.0,191.0,6,0.0,0.0,0.445026178010471,3,0.0,0.0,138,0.722513089005236,2,"DEC,JAN,FEB,MAR",4,5.0,24.3,2,2.95,5,3.3,2,81.5,1,3,48.0
35.0,Sardinella gibbosa,SP,"IJF 39 (3,4)Bennet et al,136-15 1",CLUPEIDAE,361.0,kerala,SW,1984.0,1988.0,PS.NM,15.2,6,C,1.2,4,1.888,2.053,3.941,0.0,0.5209337,3.0,141.0,181.0,188.0,,0.0,26000.0,73000.0,73000,4.0,0.0,0.0,0.0,0.0,0.0,115.0,197.0,6,0.0,0.0,0.583756345177665,2,0.0,0.0,136,0.690355329949239,3,"MAY,JUN,OCT,NOV",4,5.0,24.3,2,2.95,5,3.3,2,662.8,6,3,51.0
35.0,Sardinella gibbosa,SP,"IJF 39 (3,4),Bennet et al,136-15 1",CLUPEIDAE,361.0,"Goa,Karnataka",SW,1984.0,1988.0,PS.NM,15.2,6,C,1.4,5,1.976,1.208,3.184,0.0,0.379397,1.0,158.0,198.0,204.0,0.0,0.0,26000.0,73000.0,73000,4.0,0.0,0.0,0.0,0.0,0.0,45.0,211.0,5,0.0,0.0,0.213270142180095,5,0.0,0.0,136,0.644549763033175,4,"SEP.OCT.NOV,DEC,JAN,FEB,MAR,APR",8,3.0,24.3,2,2.95,5,3.3,2,662.8,6,3,51.0
35.0,Sardinella gibbosa,SP,"IJF 2010,57(4) Abdusamad et al",CLUPEIDAE,361.0,tutucorin,SE,2000.0,2008.0,"Trawl,gillnet",15.2,6,C,1.82,6,3.06,4.91,7.97,0.0,0.6160602,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8535,2.0,0.0,0.0,0.0,65.0,195.0,60.0,193.7,6,0.0,0.0,0.309757356737223,4,0.0,0.0,133,0.686628807434177,3,"Dec-Mar,Jun,Jul",6,4.0,24.3,2,2.95,5,3.3,2,81.5,1,3,48.0
35.0,Sardinella longiceps,SP,Trophic  Modelling of Arabian Sea of Karnataka,CLUPEIDAE,362.0,Mangalore,SW,1999.0,2001.0,"Trawlnet,Purseseine, Artisanal",16.4,6,C,1.6,6,2.67,3.69,6.36,0.0,0.5801887,3.0,,,,,31711.0,27000.0,88000.0,88000,4.0,,,166.0,,,115.0,233.0,5,0.729613734,1.214285714,0.493562231759657,3,,,141,0.605150214592275,4,"Jun, Jul, Aug",3,5.0,25.16,2,2.5,5,3.8,2,662.8,6,3,54.0
35.0,Sardinella longiceps,SP,AR2005-06,CLUPEIDAE,362.0,Karnataka,SW,2005.0,2006.0,"Purseseine, Trawlnet, Ringseine",16.4,6,C,0.9,3,1.79,0.95,2.74,0.0,0.3467153,1.0,,0.0,0.0,0.0,46460.0,27000.0,88000.0,88000,4.0,0.0,,132.0,,,115.0,228.0,5,0.579,0.88,0.504385964912281,2,0.0,,150,0.657894736842105,3,,3,5.0,25.16,2,2.5,5,3.8,2,662.8,6,3,47.0
35.0,Sardinella longiceps,SP,"AFS, Kochi, 2007, CFO 013 Abstract Sivadas",CLUPEIDAE,362.0,Malabar,SW,2001.0,2005.0,Ringseine,16.4,6,C,1.3,5,2.32,3.18,5.5,0.0,0.5781818,3.0,0.0,0.0,0.0,0.0,0.0,27000.0,88000.0,88000,4.0,0.0,0.0,132.0,0.0,0.0,65.0,233.0,5,0.0,0.0,0.278969957081545,5,0.0,0.0,158,0.678111587982833,3,,3,5.0,25.16,2,2.5,5,3.8,2,662.8,6,3,54.0
35.0,Sardinella longiceps,SP,"IJF1988,35(3) Balan et al",CLUPEIDAE,362.0,Off Cochin,SW,1980.0,1985.0,Purseseine,16.4,6,C,0.75,3,0.75,1.4,1.59,0.0,0.8805031,6.0,0.0,0.0,0.0,0.0,0.0,27000.0,88000.0,88000,4.0,0.0,0.0,132.0,220.0,220.0,65.0,225.0,5,0.0,,0.288888888888889,5,0.0,0.0,158,0.702222222222222,2,Jun-aug,3,5.0,25.16,2,2.5,5,3.8,2,662.8,6,3,54.0
35.0,Sardinella longiceps,SP,"JMBA 2003, 45(1) Rohit et al",CLUPEIDAE,362.0,mangalore,SW,1997.0,2002.0,"Purse seine,trawl, Boat seine, Gillnet",16.4,6,C,0.9,3,1.51,0.93,2.74,0.0,0.3394161,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88000,4.0,0.0,0.0,142.0,40.0,220.0,115.0,228.0,5,0.0,0.0,0.504385964912281,2,150.0,180.0,160,0.701754385964912,2,"Jun,Jul,Aug",3,5.0,25.16,2,2.5,5,3.8,2,662.8,6,3,46.0
35.0,Sardinella longiceps,SP,"IJF1992,39(3,4) Annigeri etal 125-135",CLUPEIDAE,362.0,SW,SW,1979.0,1988.0,"Purse-seine,boat seine,Ring seine",16.4,6,C,0.75,3,1.3,0.93,2.23,0.0,0.4170403,2.0,0.0,0.0,0.0,0.0,37000.0,80000.0,0.0,88000,4.0,0.0,0.0,0.0,0.0,0.0,115.0,221.0,5,0.0,0.0,0.520361990950226,2,0.0,0.0,150,0.678733031674208,3,,3,5.0,25.16,2,2.5,5,3.8,2,662.8,6,3,48.0
35.0,Sardinella longiceps,SP,"IJF 2010,57(4) Abdusamad et al",CLUPEIDAE,362.0,tutucorin,SE,2000.0,2008.0,"Trawl,gillnet",16.4,6,C,1.55,6,2.64,5.01,7.65,0.0,0.654902,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,58950,4.0,0.0,0.0,0.0,105.0,225.0,105.0,231.6,5,0.0,0.0,0.453367875647668,3,0.0,0.0,150,0.647668393782383,4,"Dec-Mar,Jul,Aug",6,4.0,25.16,2,2.5,5,3.8,2,81.5,1,3,49.0
35.0,Sardinella longiceps,SP,CMFRI annual report 2008-2009,CLUPEIDAE,362.0,Karnataka,SW,2008.0,2009.0,"Purse seine,Trawl, ring seine",16.4,6,C,0.9,3,2.81,2.9,5.71,0.0,0.5078809,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88000,4.0,90.0,205.0,164.0,0.0,0.0,115.0,228.0,5,0.0,0.0,0.504385964912281,2,0.0,0.0,150,0.657894736842105,3,,3,5.0,25.16,2,2.5,5,3.8,2,662.8,6,3,49.0
35.0,Sardinella longiceps,SP,"JMBA 2000,42(1&2) Ganga",CLUPEIDAE,362.0,Karwar,SW,1990.0,1992.0,PS,16.4,6,C,1.3,5,1.43,1.47,2.9,0.0,0.5068966,3.0,163.0,196.0,202.0,,0.0,0.0,0.0,88000,4.0,0.0,0.0,0.0,0.0,0.0,115.0,203.0,5,0.0,0.0,0.566502463054187,2,0.0,0.0,160,0.788177339901478,1,Jun_Aug,3,5.0,25.16,2,2.5,5,3.8,2,662.8,6,3,49.0
35.0,Sardinella longiceps,SP,"JMBA 2000,42(1&2) Ganga",CLUPEIDAE,362.0,Karwar,SW,1996.0,1998.0,PS,16.4,6,C,1.6,6,1.43,4.91,6.34,0.0,0.7744479,5.0,163.0,196.0,202.0,0.0,0.0,0.0,0.0,88000,4.0,0.0,0.0,0.0,0.0,0.0,115.0,204.0,5,0.0,0.0,0.563725490196078,2,0.0,0.0,160,0.784313725490196,1,Jun_Aug,3,5.0,25.16,2,2.5,5,3.8,2,662.8,6,3,52.0
35.0,Sardinella sirm,SP,"IJF 2010,57(4) Abdusamad et al",CLUPEIDAE,364.0,tuticorin,SE,2000.0,2008.0,"Trawl,Gillnet",10.9,4,C,2.1,6,3.23,2.6,5.83,0.0,0.4459691,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48427,3.0,0.0,0.0,0.0,100.0,235.0,100.0,243.1,5,0.0,0.0,0.411353352529823,3,0.0,0.0,160,0.658165364047717,3,"Dec-Mar,Jun,Jul",6,4.0,91.2,6,3.15,4,3.1,2,81.5,1,3,46.0
